pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
90.857147,-67.4934,-90.0,top,C1,,,C_0805_2012Metric,1n,smt
108.544085,-38.78,180.0,top,C10,,,C_1210_3225Metric,0.1u,smt
83.9,-51.625,0.0,top,C11,,,C_0805_2012Metric,10p,smt
95.5,-38.25,0.0,top,C12,,,C_1210_3225Metric,0.47u,smt
94.25,-48.1,0.0,top,C13,,,C_1210_3225Metric,4.7u,smt
110.044085,-59.28,0.0,top,C14,,,C_1210_3225Metric,4.7u,smt
103.544085,-53.53,180.0,top,C15,,,C_1210_3225Metric,4.7u,smt
110.044085,-55.03,0.0,top,C16,,,C_1210_3225Metric,1u,smt
99.294085,-31.53,90.0,top,C17,,,C_1210_3225Metric,4.7u,smt
68.0,-51.625,180.0,top,C2,,,C_1210_3225Metric,0.1u,smt
89.5,-59.4,-90.0,top,C3,,,C_1210_3225Metric,4.7u,smt
93.0,-54.625,90.0,top,C4,,,C_1210_3225Metric,1u,smt
93.0,-59.375,-90.0,top,C5,,,C_1210_3225Metric,0.1u,smt
89.5,-54.625,90.0,top,C6,,,C_1210_3225Metric,0.1u,smt
77.0,-51.875,90.0,top,C7,,,C_0805_2012Metric,10p,smt
73.25,-48.625,0.0,top,C8,,,C_0805_2012Metric,10p,smt
83.9,-54.125,0.0,top,C9,,,C_0805_2012Metric,10p,smt
69.57,-54.125,180.0,top,D1,,,D_0201_0603Metric,ESDZL5,smt
102.544085,-38.65,180.0,top,D2,,,D_SOD-123F,PMEG6010CEH,smt
72.0,-71.875,90.0,top,J1,,,PinHeader_2x07_P1.27mm_Vertical,Conn_ST_STDC14,tht
81.225,-61.125,90.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,I2C,tht
92.96,-20.06,180.0,top,J4,,,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",CAN+POWER,tht
78.0,-42.0,180.0,top,J5,,,PinHeader_1x02_P2.54mm_Vertical,CAN,tht
101.754085,-57.53,90.0,top,J6,,,PinHeader_1x02_P2.54mm_Vertical,3.3V,tht
87.225,-48.1,90.0,top,J7,,,PinHeader_1x02_P2.54mm_Vertical,5V,tht
105.186585,-43.03,-90.0,top,L1,,,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,18u-RLB0914-180KL,tht
83.75,-57.375,-90.0,top,R1,,,R_0805_2012Metric,10K,smt
80.25,-57.375,90.0,top,R2,,,R_0805_2012Metric,10K,smt
109.544085,-51.78,180.0,top,R3,,,R_0805_2012Metric,33k,smt
114.206585,-51.78,180.0,top,R4,,,R_0805_2012Metric,10K,smt
84.25,-33.25,0.0,top,R5,,,R_0805_2012Metric,120,smt
104.544085,-31.28,180.0,top,R6,,,R_0805_2012Metric,100k,smt
65.0,-47.375,90.0,top,SW1,,,SW_PUSH_6mm,generic 6mm tht switch,tht
86.437092,-67.393402,0.0,top,U1,,,MPRLS_HNW,MPRLS0025PA00001A,smt
71.75,-61.669149,-90.0,top,U2,,,LQFP64_STM,STM32C092RCT6,smt
88.957092,-77.143402,180.0,top,U3,,,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,SCD40-D-R2,smt
106.829085,-34.4975,180.0,top,U4,,,SOT-23-6,LV2862YDDC,smt
91.75,-42.366,0.0,top,U5,,,SOT-23_2p92X2p37_TLV1709_DBZ_TEX,TLV709A50DBZR,smt
84.13,-39.74,90.0,top,U6,,,SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T-3,smt
73.3,-51.925,90.0,top,Y1,,,Crystal_SMD_2016-4Pin_2.0x1.6mm,48MHz,smt
80.75,-52.875,90.0,top,Y2,,,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,32.768KHz,smt
